,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,netflix_title
3960,False,/73ls8K2uWQm5lrb8ShAX6ShJbaE.jpg,[18],222951,hi,B.A. Pass,"After losing his parents in a car accident, Mukesh stays at his Aunt's house in Delhi. Enrolled in a good for nothing course in college he finds peace by playing chess at the local cemetery, the rest of the times he worries over ways to make a living and taking care of his sisters. 'B.A.Pass' is a story looking at the fatal promise of a new life. When Mukesh meets Sarika 'auntie' at a kitty party, little does he know of the city and it's ways and means to survive. Sarika seduces Mukesh, shy and inexperienced he falls for her. What follows is a twist of destiny, a kind of story that appears in the tabloids as 'heinous acts of crime'",10.038,/5KiuF1VdtjFXTp7aeYsGyFcKa7O.jpg,2012-08-02,B.A. Pass,False,5.828,32,B.A. Pass
3961,False,/ci8NMpK3HvuySQRGPMAPyBSlL7f.jpg,[18],13393,tr,Babam ve Oğlum,"A left-wing journalist whose wife died while giving birth to his son during a military coup returns to his family's farm. Estranged from his father for turning his back on the family and wasting his life with political activism instead, he tries to reconnect with him so that his son will have a place to live as his health is deteriorating due to the extensive torture he had to endure.",6.698,/dcKY23xowYTU9B1cagUdHQwsxOB.jpg,2005-11-18,My Father and My Son,False,7.519,262,Babam ve Oğlum
3962,False,/oW5I6bexwnTNAS1mMVTfrGF3WZS.jpg,[18],1164,en,Babel,"In Babel, a tragic incident involving an American couple in Morocco sparks a chain of events for four families in different countries throughout the world. In the struggle to overcome isolation, fear, and displacement, each character discovers that it is family that ultimately provides solace. In the remote sands of the Moroccan desert, a rifle shot rings out  detonating a chain of events that will link an American tourist couples frantic struggle to survive, two Moroccan boys involved in an accidental crime, a nanny illegally crossing into Mexico with two American children and a Japanese teen rebel whose father is sought by the police in Tokyo. Separated by clashing cultures and sprawling distances, each of these four disparate groups of people are nevertheless hurtling towards a shared destiny of isolation and grief.",12.76,/cDy5iZL2C01jiT5wDSE4jOvoT52.jpg,2006-09-08,Babel,False,7.176,3311,Babel
3963,False,/fzQVTOqV1YB0dxGOlGJeTKmdX2n.jpg,[],508436,en,Bachelor Girls,"Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai.",0.6,/nG4pkGzyFqXF8vHkq68Hn1nuknw.jpg,2016-01-01,Bachelor Girls,False,6.5,2,Bachelor Girls
3964,False,/gD76qFie6LmNbXX2ujiLWvKjr59.jpg,"[10749, 35]",352993,pt,Entre Idas e Vindas,"Afonso is a university professor and a single father to his son Benedict. One day, they decide to take a trip together, but face problems when their car breaks down. They are helped by four very beautiful telemarketing operators who take them back to São Paulo.",2.717,/10lMoRN0SDMlLktjucciFE5WrOu.jpg,2016-07-21,Back and Forth,False,5.838,34,Back and Forth
3965,False,/357ucRmTEOkv1fwPtq1xxMhG3ac.jpg,"[53, 18, 27]",228973,en,Backcountry,A couple on a deep-wilderness hike become hopelessly lost within an aggressive black bear's territory.,12.761,/AdIkDCWcBqv1B10ncm71sMiqEEF.jpg,2015-03-20,Backcountry,False,5.844,527,Backcountry
3966,False,/nGici9Im2xie2OczhWO3MFQGPvO.jpg,"[80, 18]",560955,en,Backfire,"After a botched robbery escalates to homicide, a north Philly gun runner has to escape or outsmart the south Philly Italian mob as they close in for vengeance.",4.26,/fKw3Ac5T2dlWfcGKIMUfrRJ7SbY.jpg,2017-10-05,Backfire,False,4.125,8,Backfire
3967,False,/yr9UxlMes1AzYUxscoPo7dSmiTv.jpg,"[9648, 27, 53]",332704,en,Backtrack,"Troubled psychotherapist Peter Bowers is suffering from nightmares and eerie visions. When he uncovers a horrifying secret that all of his patients share, he is put on a course that takes him back to the small hometown he fled years ago. There he confronts his demons and unravels a mystery 20 years in the making.",10.207,/8L4jifugHPASkrssmOUVdQxn3WN.jpg,2015-07-25,Backtrack,False,5.784,322,Backtrack
3968,False,/wOLTJxfv98miIQcn0oNXq9fIgXM.jpg,"[28, 35, 80, 53]",9737,en,Bad Boys,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",25.993,/x1ygBecKHfXX4M2kRhmFKWfWbJc.jpg,1995-04-07,Bad Boys,False,6.784,5594,Bad Boys
3969,False,/gxSVZCUlDd8upT1G2wdrUdz2hxG.jpg,"[12, 28, 35, 53, 80]",8961,en,Bad Boys II,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister.",28.089,/yCvB5fG5aEPqa1St7ihY6KEAsHD.jpg,2003-07-18,Bad Boys II,False,6.593,4796,Bad Boys II
