,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count,netflix_title
1260,False,/sSVmLcHMrOtZapIY0ip6M7shMjA.jpg,"[35, 18]",61418,['US'],en,Jane the Virgin,"A comedy-drama following a chaste young woman who is accidentally impregnated via artificial insemination as she struggles to inform her devoutly religious family and make the right choices concerning the child. Based on the telenovela ""Juana la virgen.""",59.636,/DRRHgvsNEfBloMgIP8bBw4zi4E.jpg,2014-10-13,Jane the Virgin,7.968,757,Jane The Virgin
1261,False,/syoPZLPj42pjmg3Wz2pq7pU7PlE.jpg,"[35, 80, 18]",62411,['KR'],ko,식샤를 합시다,"What do a group of foodies and a murder have in common? Lee Soo Kyung is a 33-year-old divorcee who is a composed, confident woman who is happy to be living alone after marrying way too early in life. But the only thing that can make her lose her cool composure is great food. Living next door is another foodie, Goo Dae Young, a single man who loves surrounding himself with gourmet food but hates being asked if he is dining alone at great restaurants. When a strange murder occurs in their neighborhood, how will their lives be intertwined?",7.895,/63PsUTkJ2FnDYzJGFNKPLYFDQpO.jpg,2013-11-28,Let's Eat,8.1,15,Let's Eat 2
1262,False,/syoPZLPj42pjmg3Wz2pq7pU7PlE.jpg,"[35, 80, 18]",62411,['KR'],ko,식샤를 합시다,"What do a group of foodies and a murder have in common? Lee Soo Kyung is a 33-year-old divorcee who is a composed, confident woman who is happy to be living alone after marrying way too early in life. But the only thing that can make her lose her cool composure is great food. Living next door is another foodie, Goo Dae Young, a single man who loves surrounding himself with gourmet food but hates being asked if he is dining alone at great restaurants. When a strange murder occurs in their neighborhood, how will their lives be intertwined?",7.895,/63PsUTkJ2FnDYzJGFNKPLYFDQpO.jpg,2013-11-28,Let's Eat,8.1,15,Let’s Eat
1263,False,,[35],208700,['US'],en,Misaeng (Adult parody),"Korean Playboy TV parody drama based on Misaeng: Incomplete Life. Ahn Grae, who was a former erotic actress, gave up her career as an actor and, on the recommendation of an acquaintance, enters a PL boss. On the first day of work, Ahn Yeong-mi, who was the motive of joining the company, received an unknown bond from the eyes. She can’t suppress the nature of the sexy girl and sometimes seduces Ahn-Grae…",0.625,,2015-01-15,Misaeng (Adult parody),10.0,1,Misaeng
1264,False,/eVTFIDrIJvwB384RTeThR7nn4ea.jpg,[35],63119,['KR'],ko,오 나의 귀신님,"Na Bong Sun may be a skilled sous chef, but she lacks the self-esteem to shine professionally and socially. Beyond her cooking talents, however, is an uncanny ability to communicate with ghosts. One day, her mystic senses go out of control when the seductive ghost of Shin Soon Ae possesses her. Imbued with a fiery new ""personality,"" Bong Sun starts turning heads, including that of Kang Sun Woo, the hottest chef in town and Bong Sun's secret crush!",16.199,/6GZhtgZNDHmwmUA4yRmrdfEJQNu.jpg,2015-07-03,Oh My Ghost,8.1,83,Oh My Ghost
1265,False,/apZzaHdqztHheVKAao8qXqT0ytK.jpg,[35],58761,['KR'],ko,응답하라 1994,"Generation Y, meet Generation X: on the heels of the success of Answer Me 1997, ‘90s nostalgia continues with a series set in 1994. Journey with a group of high schoolers as they discover the now legendary—then new—K-pop group Seo Taiji and the Boys, as well as the Korean Basketball League, ""new"" technology, and grungy fashion trends. Sometimes you’ve just got to look to your past in order to appreciate the present. Every generation is sure to find something to love in this field trip back into time! ",10.847,/59OxZzM297jfXHKkZvXkX4ukpem.jpg,2013-10-18,Reply 1994,7.9,33,Reply 1994
1266,False,/qph3c3QKAMsljHM7S0tI25MlQkD.jpg,"[35, 18]",46553,['KR'],ko,응답하라 1997,"Set in the 1990's, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old high schoolers in 1997 and their present as 33-year-olds at their high school reunion dinner in 2012, where one couple will announce that they're getting married.",8.868,/onW5VNmzZuDYmkSeFhtSibt0rRq.jpg,2012-07-24,Reply 1997,7.9,45,Reply 1997
1267,False,/tNNBi0zM8zWJIlOzFRfrMUsHycP.jpg,"[10765, 18, 10759, 80]",86752,['US'],en,Wu Assassins,"The last in a line of Chosen Ones, a wannabe chef teams up with a homicide detective to unravel an ancient mystery and take down supernatural assassins.",14.43,/b3nMqPFY8skSfYLF3xEz8oQZxPa.jpg,2019-08-08,Wu Assassins,6.924,132,Wu Assassins
1268,False,/aEsT1ZQD6rX0fessdZIj69sS3yC.jpg,"[35, 10751]",82578,['US'],en,No Good Nick,"A family finds their lives turned upside down when a young, street-smart grifter shows up on their doorstep, claiming to be a distant relative.",10.599,/8Dx6nS5S5J3yXSbzGTgs0s4RBNv.jpg,2019-04-15,No Good Nick,6.919,37,No Good Nick
1269,False,/4BmzK4uiirNIGLcH2E8jpmL3ARc.jpg,[99],91794,['US'],en,Basketball or Nothing,Follow the lives of the Chinle High basketball team in Arizona's Navajo Nation on a quest to win a state championship and bring pride to their isolated community.,2.035,/kKzGcTc1URsjhqbiuh7BMNyxTuV.jpg,2019-08-02,Basketball or Nothing,7.8,8,Basketball or Nothing
1270,False,/jSUlMHkGFgAs3kDn2E1d0c6oMcU.jpg,"[9648, 18]",90061,['TH'],th,Sleepless Society: Nyctophobia,"Following the death of her child, a grief-stricken woman struggles to find peace until a mysterious boy appears, claiming to be her reincarnated son.",2.431,/3v3gw58v3XoBipH3gNGpRqz6FL8.jpg,2019-05-08,Sleepless Society: Nyctophobia,7.5,3,Sleepless Society: Nyctophobia
1271,False,/bVqWg5CYO8lqc8NXJ5CFAn76jNq.jpg,[35],75297,['AU'],en,The Letdown,"Audrey is determined not to be defined by motherhood. In theory, this seems fairly easy. In practice, her career-focused husband, self-obsessed mother & fancy-free best friend, make it damn near impossible.",5.924,/kTG4W8IzKvsJshBVaN2aYfhGrfB.jpg,2016-05-04,The Letdown,7.1,12,The Letdown
1272,False,/akKSKVmdjz8vZSU2T2uf0xBNvgF.jpg,"[16, 10759, 35, 10751, 10762]",91656,['US'],en,Twelve Forever,Reggie's dream is to be a kid forever. Her dream is so powerful that it creates its own fantasy world of perpetual youth.,5.229,/xJocMECVkXeBw0gRyjE5FEeiAmT.jpg,2019-07-29,Twelve Forever,5.909,11,Twelve Forever
1273,False,/h298HbMOnvvXP65fjrxfPbQPLx0.jpg,[18],87527,['KR'],ko,첫사랑은 처음이라서,"Due to various personal reasons, a group of Yun Tae-o’s friends move into his house, where they experience love, friendship, and everything in between.",14.693,/oTE13yLKzpNfGxdUcyEV6Am4WP2.jpg,2019-04-18,My First First Love,8.3,516,My First First Love
1274,False,/6ygiUWflbmz5p2LFc3COVHriQzK.jpg,"[10765, 18]",79130,['US'],en,Another Life,"After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact.",29.735,/htazQ0cPoloL5SJ2bqOCKh9UTcc.jpg,2019-07-25,Another Life,6.148,291,Another Life
1275,False,/jFjdeXgx2Cg6BGhXe2drEsJVrbx.jpg,"[16, 10751]",67264,['AU'],en,Beat Bugs,"Jay, Kumi, Crick, Buzz, and Walter are best friends who band together to explore and learn in an overgrown suburban backyard, which to them is their entire universe. Each episode of this animated series features songs by The Beatles performed by artists including Daniel Johns, Robbie Williams and Pink to tell uplifting and life-affirming stories filled with hope and melody.",5.429,/eVC1dtvG9CqWSkxixoj8R5X7w1b.jpg,2016-07-25,Beat Bugs,5.5,8,Beat Bugs
1276,False,/8rt9VPJnPfmXzyI0mPy4QZBjGaT.jpg,[35],91491,['HK'],cn,性敢中環,"In the bustling center of Hong Kong, five women reckon with betrayal, unrequited love and other matters of the heart",2.76,/d4veyR3FQxmXhBqqDRWAQiJaiTr.jpg,2019-07-19,Sexy Central,7.8,12,Sexy Central
